Fabric Name,Fabric #,Style #'s
Beige lycra,3129,19290
parrot green solid crepe,3125,19301
Beige plain crepe ,3216,19302
sea green solid crepe,3127,19303
Yellow plain ggt,3217,19308
Pink plain ggt,3218,19309
Black & white thick stripe crepe,1065,"19317, 16001, 19715"
Red & white stripe crepe,9098,"19322, 19329"
Olive & white print rayon,9086,"19323, 19407"
Yellow floral rayon ,9084,"19324, 19398, 19404"
Magenta rayon,3219,19325
Turquoise rayon,3221,19326
Turquoise polka crepe ,9103,"19328, 19336, 19337, 19359"
Red polka crepe ,9117,19329
Navy blue thick stripe crepe,9097,19330
Bottle green polka crepe,9107,"19331, 19357, 19364"
parrot green cotton slub,3116,19333
Yellow big polka crepe ,9116,"19334, 19335, 19470"
Digital Yellow face print crepe,9080,"19338, 19545"
Red & white print rayon,9085,"19339, 19382, 19406"
Multi dott print crepe,9092,19343
Beige & brown print crepe,9093,19344
Green paisley print crepe,9106,19345
Navy green stripe crepe,9114,19347
Multi stripe crepe,9090,"19388, 19348"
Blue & white thik thin stripe crepe,9096,"19387, 19349"
